Year,Population (full),Yearly Growth %,Number,Density (Pop/km2),Population
1951,2543130380,1.75,43808223,17,2.54313038
1952,2590270899,1.85,47140519,17,2.590270899
1953,2640278797,1.93,50007898,18,2.640278797
1954,2691979339,1.96,51700542,18,2.691979339
1955,2746072141,2.01,54092802,18,2.746072141
1956,2801002631,2.00,54930490,19,2.801002631
1957,2857866857,2.03,56864226,19,2.857866857
1958,2916108097,2.04,58241240,20,2.916108097
1959,2970292188,1.86,54184091,20,2.970292188
1960,3019233434,1.65,48941246,20,3.019233434
1961,3068370609,1.63,49137175,21,3.068370609
1962,3126686743,1.90,58316134,21,3.126686743
1963,3195779247,2.21,69092504,21,3.195779247
1964,3267212338,2.24,71433091,22,3.267212338
1965,3337111983,2.14,69899645,22,3.337111983
1966,3406417036,2.08,69305053,23,3.406417036
1967,3475448166,2.03,69031130,23,3.475448166
1968,3546810808,2.05,71362642,24,3.546810808
1969,3620655275,2.08,73844467,24,3.620655275
1970,3695390336,2.06,74735061,25,3.695390336
1971,3770163092,2.02,74772756,25,3.770163092
1972,3844800885,1.98,74637793,26,3.844800885
1973,3920251504,1.96,75450619,26,3.920251504
1974,3995517077,1.92,75265573,27,3.995517077
1975,4069437231,1.85,73920154,27,4.069437231
1976,4142505882,1.80,73068651,28,4.142505882
1977,4215772490,1.77,73266608,28,4.21577249
1978,4289657708,1.75,73885218,29,4.289657708
1979,4365582871,1.77,75925163,29,4.365582871
1980,4444007706,1.80,78424835,30,4.444007706
1981,4524627658,1.81,80619952,30,4.524627658
1982,4607984871,1.84,83357213,31,4.607984871
1983,4691884238,1.82,83899367,32,4.691884238
1984,4775836074,1.79,83951836,32,4.775836074
1985,4861730613,1.80,85894539,33,4.861730613
1986,4950063339,1.82,88332726,33,4.950063339
1987,5040984495,1.84,90921156,34,5.040984495
1988,5132293974,1.81,91309479,34,5.132293974
1989,5223704308,1.78,91410334,35,5.223704308
1990,5316175862,1.77,92471554,36,5.316175862
1991,5406245867,1.69,90070005,36,5.406245867
1992,5492686093,1.60,86440226,37,5.492686093
1993,5577433523,1.54,84747430,37,5.577433523
1994,5660727993,1.49,83294470,38,5.660727993
1995,5743219454,1.46,82491461,39,5.743219454
1996,5825145298,1.43,81925844,39,5.825145298
1997,5906481261,1.40,81335963,40,5.906481261
1998,5987312480,1.37,80831219,40,5.98731248
1999,6067758458,1.34,80445978,41,6.067758458
2000,6148898975,1.34,81140517,41,6.148898975
2001,6230746982,1.33,81848007,42,6.230746982
2002,6312407360,1.31,81660378,42,6.31240736
2003,6393898365,1.29,81491005,43,6.393898365
2004,6475751478,1.28,81853113,43,6.475751478
2005,6558176119,1.27,82424641,44,6.558176119
2006,6641416218,1.27,83240099,45,6.641416218
2007,6725948544,1.27,84532326,45,6.725948544
2008,6811597272,1.27,85648728,46,6.811597272
2009,6898305908,1.27,86708636,46,6.898305908
2010,6985603105,1.27,87297197,47,6.985603105
2011,7073125425,1.25,87522320,47,7.073125425
2012,7161697921,1.25,88572496,48,7.161697921
2013,7250593370,1.24,88895449,49,7.25059337
2014,7339013419,1.22,88420049,49,7.339013419
2015,7426597537,1.19,87584118,50,7.426597537
2016,7513474238,1.17,86876701,50,7.513474238
2017,7599822404,1.15,86348166,51,7.599822404
2018,7683789828,1.10,83967424,52,7.683789828
2019,7764951032,1.06,81161204,52,7.764951032
2020,7840952880,0.98,76001848,53,7.84095288
2021,7909295151,0.87,68342271,53,7.909295151
2022,7975105156,0.83,65810005,54,7.975105156
2023,8045311447,0.88,70206291,54,8.045311447
2025,"8,184,437,460",0.98,77927744,55,8.18443746
2030,"8,548,487,400",0.87,72809988,57,8.5484874
2035,"8,887,524,213",0.78,67807363,60,8.887524213
2040,"9,198,847,240",0.69,62264605,62,9.19884724
2045,"9,481,803,274",0.61,56591207,64,9.481803274
2050,"9,735,033,990",0.53,50646143,65,9.73503399
